Ragione_Sociale,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,classificazione_servizi_finanziari,classificazione_servizi_non_finanziari,classificazione_software_informatica,classificazione_software_rd,Macro_Area_Nord,Macro_Area_Sud_Isole,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
Moccia-Cutrufo SPA,0.061224489795918366,0.031113698489608373,0.5749650494416416,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Carosone-Mannoia e figli,0.0,0.00033386829768534184,0.5959160640203549,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Ortolani-Pizzo SPA,0.0,0.00691218575409436,0.5879355191401987,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Infantino SPA,0.061224489795918366,0.047025053111114906,0.5686796019163473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semitecolo-Vendetti s.r.l.,0.08163265306122448,0.05700395254661051,0.6162437084773491,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Interminelli e figli,0.04081632653061225,0.02020479384449675,0.5952134513786955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
"Morricone, Ammaniti e Zanzi e figli",0.061224489795918366,0.04125703540642809,0.5935710731584978,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Pepe Group,0.14285714285714285,0.13632185765839785,0.5424598947840189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Turchi-Salvemini s.r.l.,0.6530612244897959,0.38729436586056626,0.6215907110487616,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Luria e figli,0.04081632653061225,0.029423380405969184,0.6043525217995688,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Russo SPA,0.04081632653061225,0.033062148289705676,0.5870453525945598,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pavanello-Boezio e figli,0.12244897959183673,0.08204921043780576,0.5461153435087126,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Casini SPA,0.10204081632653061,0.05177013910587211,0.5973230786996776,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Turchi-Gotti e figli,0.02040816326530612,0.020326518047336654,0.5944360117407563,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Segni s.r.l.,0.28571428571428564,0.11678885013398183,0.5725303871574997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
"Sonnino, Cocci e Montesano Group",0.08163265306122448,0.0738096325901633,0.5989270025477218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
"Granatelli, Grossi e Martucci SPA",0.08163265306122448,0.05948802737887964,0.6005415165957784,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Stucchi SPA,0.08163265306122448,0.05573265097551889,0.6240860313371629,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Cociarelli Group,0.8775510204081631,0.5002845023369925,0.4755692528639093,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"Fantini, Pennetta e Soderini Group",0.2040816326530612,0.1459764915988721,0.6221546127365225,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Montalti-Borromini Group,0.04081632653061225,0.04010856834789673,0.5885719039675017,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Bernardini-Baglioni Group,0.5918367346938774,0.5163337357089643,0.5279620016970026,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Morgagni-Catenazzi Group,0.16326530612244897,0.08814739999583344,0.5370074841865907,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Romagnoli, Quasimodo e Lopresti e figli",0.8163265306122448,0.47532304683069543,0.3439691621037278,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Gatto-Cusano Group,0.04081632653061225,0.0283477885106392,0.5817832984480921,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Canevascini-Foletti Group,0.04081632653061225,0.022882334792803348,0.6075732229035732,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gaito Group,0.061224489795918366,0.04191954773457467,0.5657507134964538,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Ricolfi, Respighi e Donarelli s.r.l.",0.02040816326530612,0.03048014903402917,0.6056379583616622,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Porcellato e figli,0.16326530612244897,0.07117314098511263,0.6189783289778341,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Callegari-Montanariello e figli,0.0,0.004632320737291656,0.5894636330842988,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cheda-Greggio Group,0.0,0.009694351217936204,0.592551243450023,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Zacchia e figli,0.26530612244897955,0.13765678487039246,0.5057400219813437,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Capuana-Speri SPA,0.08163265306122448,0.03706514670098704,0.5669486057492586,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lippomano-Troisi e figli,0.02040816326530612,0.02555741501336885,0.5772426329999453,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Doglioni-Canevascini Group,0.0,0.00871639928649846,0.6006353212708048,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sermonti-Paltrinieri SPA,0.0,0.0030839525397590066,0.5991220114282925,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pirelli-Bembo SPA,0.08163265306122448,0.05337878978032884,0.6012083463579099,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Maderna Group,0.0,0.00887319306536764,0.6023191479511175,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Carducci s.r.l.,0.4897959183673469,0.437084409809959,0.30122921676397907,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
"Doglioni, Vasari e Farinelli Group",0.0,0.0007918695279758017,0.5900411442627943,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chiappetta s.r.l.,0.04081632653061225,0.037406438474405945,0.5921051394653984,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Pininfarina, Vecoli e Tasso e figli",0.08163265306122448,0.06555305446311123,0.5552132124565248,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Pavarotti, Polesel e Tencalla s.r.l.",0.0,0.004367439989434257,0.5998252692606237,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"Marino, Bodoni e Parini s.r.l.",0.0,0.0027828001450180733,0.5958555824354198,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sokolov-Sbarbaro e figli,0.2040816326530612,0.11476795338930808,0.5208167619931683,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
"Boccherini, Vigorelli e Schicchi SPA",0.16326530612244897,0.17028841438941458,0.6152436931792735,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
"Panzera, Ubaldi e Panicucci e figli",0.061224489795918366,0.06394378287164837,0.5587550874607621,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casagrande-Calbo Group,0.0,0.006125170390102549,0.5879111783139922,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Ziani-Frescobaldi Group,0.061224489795918366,0.03212308472682021,0.6021577595532134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Chigi-Caracciolo e figli,0.061224489795918366,0.06738734576585974,0.5657774687471275,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Volterra, Paruta e Zanazzo e figli",0.02040816326530612,0.02563828868874297,0.5837885510562438,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Greggio, Perozzo e Platini SPA",0.08163265306122448,0.0514583286554272,0.6230065618159576,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Vattimo-Donatoni e figli,0.16326530612244897,0.10632116972517693,0.5520877425037979,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"Turci, Pascarella e Valier s.r.l.",0.0,0.010740236975514121,0.599806896448132,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"Togliatti, Brugnaro e Spadafora e figli",0.061224489795918366,0.03378395360388229,0.6113440347447273,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"Pacetti, Vecellio e Porcellato SPA",0.08163265306122448,0.0524388162528654,0.5808976583182606,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Serlupi Group,0.18367346938775508,0.1347740981430535,0.6206749032144684,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Vivaldi-Cuzzocrea SPA,0.08163265306122448,0.05576832464567976,0.6086585092219294,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Contrafatto s.r.l.,0.28571428571428564,0.15794982692672546,0.49585822116445666,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Pederiva Group,0.061224489795918366,0.06297003971755276,0.5863348262860659,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Scotto e figli,0.8775510204081631,0.557173958399411,0.6811359781429561,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
"Rossini, Romiti e Govoni e figli",0.9183673469387754,0.8866216894574867,0.31044365352020936,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Casini Group,0.3061224489795918,0.18809637377035762,0.654535023810182,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Gadda SPA,0.061224489795918366,0.031221153836124834,0.5924138480802288,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Catalano, Fantoni e Nolcini Group",0.061224489795918366,0.0359045105867466,0.5830502563460991,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Semitecolo Group,0.18367346938775508,0.12402948874950845,0.5976647525253984,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Borroni-Mazzanti SPA,0.12244897959183673,0.09241584195659355,0.5891677829179367,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mastroianni-Ficino SPA,0.346938775510204,0.2626876842852235,0.6216054445826199,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Cadorna-Malenchini Group,0.673469387755102,0.33761635460892,0.44988652583044786,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Telesio SPA,0.02040816326530612,0.02691501946025777,0.6000870150513153,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Castioni-Solimena SPA,0.02040816326530612,0.02393426607975389,0.6031535559091614,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Prati-Mazzeo SPA,0.04081632653061225,0.05020233742952895,0.5985110309836942,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Filogamo SPA,0.0,0.006574148442224909,0.5870012780067881,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Vergassola-Bellocchio s.r.l.,0.08163265306122448,0.03637572847902498,0.5945284252233966,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Infantino-Varano s.r.l.,0.0,0.008417527155935259,0.5969011290408309,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
"Donarelli, Toscani e Infantino Group",0.08163265306122448,0.07945701804950375,0.6095100197733299,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Cammarata-Savorgnan e figli,0.04081632653061225,0.03595108547961632,0.5727075171996869,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Faranda Group,0.061224489795918366,0.025278513164249557,0.5780067807019336,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lopresti-Montalcini e figli,0.08163265306122448,0.05487188412949683,0.5985426755699282,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Littizzetto-Omma Group,0.836734693877551,0.5089124545958645,0.36941487229521763,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Guidotti-Guarneri s.r.l.,0.3061224489795918,0.1727158313095492,0.5033956712696064,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Tutino-Argan s.r.l.,0.32653061224489793,0.27683858625908897,0.6231131594122745,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
"Garzoni, Naccari e Pellegrini SPA",0.0,0.0012955265104446197,0.5930940151432802,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Filogamo-Terragni e figli,0.04081632653061225,0.03489233175235935,0.5771610718260278,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Amato-Altera s.r.l.,0.061224489795918366,0.04763729104334284,0.5617875491456982,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sauli-Pareto Group,0.5306122448979591,0.4762856563005429,0.44796641318822145,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Peano SPA,0.08163265306122448,0.03745342170432157,0.6058319591318081,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Ortolani, Morlacchi e Olivetti SPA",0.28571428571428564,0.13681388544649545,0.5579890848355921,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Trillini s.r.l.,0.14285714285714285,0.11294282443578077,0.5322078402108684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Speri-Grimani Group,0.061224489795918366,0.04276128179207097,0.6050030453755794,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Renzi-Filzi Group,0.0,0.009126655669461813,0.5949237355642681,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Mascheroni-Tamburello e figli,0.061224489795918366,0.055023244119886135,0.5662702986499409,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Mimun-Castellitto Group,0.08163265306122448,0.0657610555427605,0.5496701777724604,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pirelli-Alfonsi Group,0.061224489795918366,0.052514600244011826,0.5727022397416132,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Ruggeri-Sgalambro Group,0.04081632653061225,0.04455692483456761,0.6150203765579747,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Pertile SPA,0.04081632653061225,0.037886404261450686,0.5872183997895266,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Gabbana SPA,0.26530612244897955,0.20866871377803797,0.5813384848448112,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Oliboni-Buscetta s.r.l.,0.061224489795918366,0.05778306727697242,0.6004189606114371,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Giannone-Togliatti e figli,0.26530612244897955,0.16549096490359,0.6013241177590924,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
"Collodi, Paolucci e Taliani s.r.l.",0.10204081632653061,0.07240832078583943,0.5966070934732334,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Tasca, Mantegazza e Cherubini Group",0.04081632653061225,0.022834181608430332,0.5909605157674392,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mercalli-Folliero e figli,0.061224489795918366,0.0461809776153516,0.5761988253850168,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Tasca-Dallapé s.r.l.,0.08163265306122448,0.0893390636081543,0.6191777533820655,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Malipiero-Alboni s.r.l.,0.04081632653061225,0.022673232579547124,0.5831204359533206,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Verga-Foà e figli,0.02040816326530612,0.021287432994911242,0.5912792399593398,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Gravina, Biagi e Pergolesi Group",0.9795918367346937,0.8060173498342733,0.7408003635649435,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
"Sollima, Romagnoli e Tresoldi SPA",0.28571428571428564,0.26264942295108623,0.42785063825865244,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Mercati-Boccioni s.r.l.,0.26530612244897955,0.14983964145401357,0.5440140532609435,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Casagrande, Chigi e Loredan e figli",0.04081632653061225,0.04791735978821506,0.595490117203674,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Barcella SPA,0.061224489795918366,0.03530901753210554,0.6140014239055694,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Piccio, Tomei e Federico e figli",0.02040816326530612,0.01788952279417376,0.5960306760945489,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Berengario SPA,0.04081632653061225,0.03795409644993822,0.598818171986814,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Morabito e figli,0.7142857142857142,0.5414028102024666,0.3956559916929684,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Trevisan e figli,0.04081632653061225,0.0475411666675124,0.5611383965998652,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Babato s.r.l.,0.5306122448979591,0.22764960679451804,0.4922831894083482,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Toldo e figli,0.061224489795918366,0.04772270689484565,0.613259681457772,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Piccinni e figli,0.0,0.0004845049044689678,0.5968855033292467,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ughi-Bodoni e figli,0.0,0.0013429104306450024,0.5979511062915591,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"Pelli, Marinetti e Leone e figli",0.22448979591836735,0.20085224346016337,0.6162616528429103,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Boiardo-Strangio Group,0.08163265306122448,0.05918693004081905,0.6142421052289351,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Manacorda Group,0.04081632653061225,0.030049942251200928,0.587916944705622,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morpurgo-Angeli Group,0.02040816326530612,0.019104496793212952,0.6045796894026902,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
"Righi, Venier e Greco Group",1.0,0.6059391788301632,0.2081402799769636,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Andreotti e figli,0.02040816326530612,0.012150845712055588,0.5956061658352233,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"Ciani, Zanichelli e Brancaccio e figli",0.0,0.009869722038366047,0.5968101672372025,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Tamburi e figli,0.08163265306122448,0.05778677748548696,0.578350753019423,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Navarria, Morucci e Schiaparelli s.r.l.",0.14285714285714285,0.06748441681072172,0.6135430562576274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
