Ragione_Sociale,id,cciaa,nat_giuridica,anno_iscrizione_sezione_startup,anno_iscrizione_registro_imprese,anno_inizio_attivit,ateco_2007,settore,attivita,regione,sezione_attivita,classe_addetti,classe_valore_produzione,alto_valore_tecnologico,classe_capitale_sociale,spese_ricerca_sviluppo,prevalenza_femminile,prevalenza_giovanile,prevalenza_straniera,stato_impresa_label,classificazione,provincia,Macro_Area,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
"Praga, Pagnotto e Paolini Group",11,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,RM,Centro,6.0,520755.59,76217.95,0,1,0,0
"Fabbri, Bonomo e Tanzini e figli",12,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,63112,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,9.0,564332.16,63666.83,0,0,1,0
"Finetti, Giannelli e Garibaldi SPA",13,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,63113,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,1.0,116977.6,2403.06,0,1,1,0
"Grisoni, Pirandello e Venturi SPA",14,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,SI,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_rd,AQ,Sud_Isole,5.0,298560.76,-31449.02,0,0,1,0
Pirandello s.r.l.,15,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,20.0,1305232.44,-149976.8,1,1,1,0
"Schiavo, Schiaparelli e Infantino s.r.l.",16,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6832,SERVIZI,L 68 ATTIVITA' IMMOBILIARI,LAZIO,L ATTIVITA' IMMOBILIARI,0-4,0-100.000 euro,NO,1 euro,SI,NO,Esclusiva,NO,Attive,servizi_non_finanziari,RM,Centro,4.0,245890.24,-13742.52,0,0,0,0
Lucciano-Speri e figli,18,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,2813,INDUSTRIA/ARTIGIANATO,C 28 FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,ABRUZZO,C ATTIVITA' MANIFATTURIERE,0-4,100.001 - 500.000 euro,SI,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,industria,AQ,Sud_Isole,2.0,188411.51,3175.29,1,0,1,0
Fuseli-Fittipaldi Group,20,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,,NO,NO,Attive,software_informatica,RM,Centro,22.0,1793244.3,-273616.73,1,1,0,0
"Segrè, Errani e Brunelleschi e figli",21,PE,SOCIETA' A RESPONSABILITA' LIMITATA,2022,2021,2021.0,1624,INDUSTRIA/ARTIGIANATO,C 16 INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLU,ABRUZZO,C ATTIVITA' MANIFATTURIERE,0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,Esclusiva,NO,NO,Attive,industria,PE,Sud_Isole,2.0,216810.67,16020.65,1,1,0,0
Montanelli-Mazzacurati e figli,22,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2017,2017.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,1.000.001 - 2.000.000 euro,NO,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,48.0,4671272.63,-670526.45,1,0,0,1
Gadda-Piccio Group,23,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,4.0,226865.5,6202.03,1,0,1,0
Moneta-Mengolo SPA,24,BO,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2016,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",EMILIA-ROMAGNA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,ott-19,1.000.001 - 2.000.000 euro,NO,Da 10 a 50mila euro,SI,NO,Forte,NO,Attive,software_informatica,BO,Nord,3.0,192765.72,-3282.7,0,0,0,1
Chiesa e figli,25,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2019,2019.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,SI,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_rd,RM,Centro,1.0,107787.58,-7610.7,0,0,1,0
Mengolo-Filangieri SPA,27,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,AQ,Sud_Isole,3.0,203232.37,-19031.54,0,0,0,0
Guinizzelli-Opizzi SPA,28,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,40.0,2793525.22,263666.76,1,1,1,0
"Montanelli, Staglieno e Parini e figli",29,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,ott-19,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,5.0,365601.73,7085.75,0,0,1,0
Cristoforetti e figli,30,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2015,2016.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,AQ,Sud_Isole,2.0,115288.74,-7601.91,0,0,1,0
Paoletti-Pininfarina Group,31,AQ,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2016,2016,2016.0,5829,SERVIZI,J 58 ATTIVITA' EDITORIALI,ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,100.001 - 500.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,AQ,Sud_Isole,21.0,1991901.32,51679.3,1,1,1,0
Sorrentino-Musatti s.r.l.,32,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,"Da 2,5 a 5mln euro",SI,Maggioritaria,NO,NO,Attive,software_informatica,AQ,Sud_Isole,12.0,1210592.84,-15155.1,1,1,1,0
Niggli-Carfagna s.r.l.,33,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,9.0,487037.81,16935.99,1,0,1,0
"Donà, Sgarbi e Mascagni SPA",34,AQ,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2015,2015,2015.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 1 fino a 5mila euro,,,,NO,in Scioglimento o Liquidazione,software_rd,AQ,Sud_Isole,5.0,450731.73,38602.43,0,0,1,0
Altera-Pacomio e figli,37,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,631111,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,AQ,Sud_Isole,3.0,241182.47,13448.97,0,0,0,0
"Foa, Rienzo e Chindamo SPA",38,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,SI,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_rd,MI,Nord,4.0,263260.41,4009.78,0,0,0,0
Tomasini-Bignami SPA,39,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",05-set,1.000.001 - 2.000.000 euro,SI,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_rd,MI,Nord,11.0,877399.24,58589.72,1,0,1,1
"Gozzi, Gagliardi e Polizzi SPA",40,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,500.001 - 1.000.000 euro,SI,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_rd,MI,Nord,13.0,1672149.58,141034.69,1,1,0,0
"Versace, Giammusso e Rizzo Group",41,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2018.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,SI,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_rd,MI,Nord,30.0,3845660.4,-383168.06,1,1,1,0
Solari s.r.l.,42,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,SI,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_rd,MI,Nord,3.0,393102.52,-14691.78,0,0,1,0
"Agostinelli, Zarlino e Cristoforetti e figli",43,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,SI,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_rd,MI,Nord,3.0,353166.29,-5594.64,1,1,0,0
"Pellico, Maglio e Ortolani e figli",44,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2015,2015,2015.0,749093,SERVIZI,"M 74 ALTRE ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,RM,Centro,2.0,118201.08,-15053.13,0,0,0,0
Rubbia-Parmitano SPA,45,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,RM,Centro,1.0,62408.45,9263.69,1,0,1,0
"Peano, Bonanno e Ramazzotti e figli",46,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2020.0,71121,SERVIZI,M 71 ATTIVITA' DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAU,LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,Esclusiva,NO,Attive,servizi_non_finanziari,RM,Centro,14.0,861785.74,-172110.37,1,1,0,0
Moccia-Cutrufo SPA,48,AQ,SOCIETA' PER AZIONI,2019,2018,2019.0,232,INDUSTRIA/ARTIGIANATO,C 23 FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERAL,ABRUZZO,C ATTIVITA' MANIFATTURIERE,20-49,1.000.001 - 2.000.000 euro,NO,Più di 5 mln euro,SI,NO,NO,NO,Attive,industria,AQ,Sud_Isole,4.0,253458.83,-38138.2,1,0,0,0
Carosone-Mannoia e figli,49,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,AQ,Sud_Isole,1.0,52198.26,3426.72,1,1,1,0
Ortolani-Pizzo SPA,50,TO,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,TO,Nord,1.0,95212.01,-12405.96,1,1,0,0
Infantino SPA,51,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,Forte,NO,NO,Attive,software_informatica,RM,Centro,4.0,357498.66,-50607.96,0,0,0,0
Semitecolo-Vendetti s.r.l.,52,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,20-49,1.000.001 - 2.000.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,5.0,422747.85,43754.93,1,1,1,0
Interminelli e figli,53,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",05-set,500.001 - 1.000.000 euro,SI,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_rd,RM,Centro,3.0,182128.6,2032.8,0,1,1,0
"Morricone, Ammaniti e Zanzi e figli",54,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,4.0,319783.23,-1225.53,0,1,1,0
Pepe Group,56,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2015,2015.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,1.000.001 - 2.000.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,8.0,941385.11,-102625.49,0,0,1,0
Turchi-Salvemini s.r.l.,57,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,721,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",50-249,10.000.001 - 50.000.000 euro,SI,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_rd,AQ,Sud_Isole,33.0,2582423.08,54362.9,1,1,1,0
Luria e figli,58,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,3.0,242406.32,20163.89,1,1,1,0
Russo SPA,59,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,100.001 - 500.000 euro,NO,Da 50 a 100mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,3.0,266199.19,-14171.97,0,0,1,0
Pavanello-Boezio e figli,60,RI,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2021,2020,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Forte,NO,Attive,software_informatica,RI,Centro,7.0,586511.68,-95373.41,0,0,1,0
Casini SPA,63,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,TE,Sud_Isole,6.0,388525.43,6218.11,0,0,0,0
Turchi-Gotti e figli,64,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,14132,INDUSTRIA/ARTIGIANATO,C 14 CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTIC,ABRUZZO,C ATTIVITA' MANIFATTURIERE,ott-19,500.001 - 1.000.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,industria,TE,Sud_Isole,2.0,182924.52,490.43,0,1,0,0
Segni s.r.l.,65,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",ott-19,2.000.001 - 5.000.000 euro,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,TE,Sud_Isole,15.0,813664.32,-42968.35,0,1,1,0
"Sonnino, Cocci e Montesano Group",66,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2017,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,ott-19,100.001 - 500.000 euro,NO,Da 500 a 1mln euro,SI,NO,NO,NO,Attive,software_informatica,TE,Sud_Isole,5.0,532635.42,9400.15,0,0,1,1
